id,run_id,symbol,direction,conviction,rationale,catalyst,horizon,created_at
1,2026-06-26T04:25:29.168830+00:00,SPY,LONG,0.68,SPY shows resilience with only -0.5% 10-day decline versus QQQ's -0.1% and significant tech selloff. Broad market index divergence suggests institutional rotation toward defensive/balanced positioning. Live price near recent close indicates stabilization after 5-day weakness.,Mean reversion in mega-cap tech; institutional rebalancing into large-cap diversified holdings,swing,2026-06-26T04:25:34.990879+00:00
2,2026-06-26T04:25:29.168830+00:00,QQQ,SHORT,0.66,"QQQ lagging SPY (-0.1% vs -0.5% 10d) masks underlying tech weakness: AAPL -6.9%, NVDA -4.5% both structurally weak. Nasdaq composition heavily exposed to AI/mega-cap rotation. 5-day -3.3% decline signals momentum loss in growth segment.",Continued tech sector underperformance; potential earnings disappointments in mega-cap holdings; rate environment uncertainty,swing,2026-06-26T04:25:34.990879+00:00
3,2026-06-26T04:25:29.168830+00:00,AAPL,SHORT,0.62,"Worst performer in cohort: -7.7% (5d), -6.9% (10d). Sharp decay suggests sector-specific or company-specific negative catalyst. Live price at session low relative to close indicates continued selling pressure. Deteriorating relative strength vs. SPY/market.",Potential guidance cut; competitive pressures in smartphones/services; macro weakness in consumer discretionary,swing,2026-06-26T04:25:34.990879+00:00
4,2026-06-26T04:25:29.168830+00:00,BTC/USD,SHORT,0.59,"Crypto showing cumulative weakness: -7.1% (10d), -6.3% (5d). Sustained downtrend without bounce suggests loss of momentum support. Correlated with equity risk-off but lacks fundamental catalyst recovery window in near term.",Risk-off sentiment continuation; macro uncertainty; potential regulatory headlines,swing,2026-06-26T04:25:34.990879+00:00
5,2026-06-26T04:31:29.919375+00:00,ETH/USD,LONG,0.62,"ETH down 10.2% over 5d and 11.3% over 10d represents more aggressive drawdown than BTC (-6.3% 5d, -7.1% 10d). Larger relative weakness suggests potential mean-reversion opportunity if sector stabilizes. Currently trading near session lows (1549.1 bid), positioning for technical bounce.",Stabilization in crypto sentiment or macro risk-off reversal; potential support bounce from oversold technicals,swing,2026-06-26T04:31:33.598482+00:00
6,2026-06-26T04:31:29.919375+00:00,BTC/USD,LONG,0.58,"BTC showing relative strength versus ETH (smaller 5d/10d losses) suggests institutional support and technical resilience. 6.3% 5d decline represents pullback within established range rather than breakdown. Live pricing near session midpoint (59,871–59,922) indicates consolidation rather than panic selling.",Bounce off support levels or positive macro catalyst; potential follow-through if ETH stabilizes,swing,2026-06-26T04:31:33.598482+00:00
7,2026-06-26T04:32:26.703289+00:00,ETH/USD,LONG,0.62,"ETH has declined 10.2% over 5d and 11.3% over 10d, creating potential oversold conditions. Relative underperformance vs BTC (-6.3% 5d) suggests mean reversion opportunity. Current live price near session close indicates stabilization.",Technical bounce from oversold levels; potential ETH outperformance if broader crypto sentiment stabilizes,swing,2026-06-26T04:32:30.142059+00:00
8,2026-06-26T04:32:26.703289+00:00,BTC/USD,LONG,0.55,BTC has fallen 7.0% over 10d but shows relatively better resilience than ETH (smaller drawdown). Live price near daily close suggests intraday stability. Moderate oversold conditions warrant cautious long positioning.,Support hold near current levels; recovery if macro sentiment improves or technical capitulation is reached,swing,2026-06-26T04:32:30.142059+00:00
9,2026-06-26T04:32:43.144906+00:00,ETH/USD,LONG,0.72,"ETH has declined 10.2% over 5 days and 11.3% over 10 days, creating an oversold condition. The larger drawdown vs BTC (-6.3% / -7.0%) suggests capitulation in the alternative. Mean reversion and relative weakness vs BTC offers asymmetric risk/reward for swing recovery.",Technical oversold bounce; potential stabilization if BTC holds support,swing,2026-06-26T04:32:46.410100+00:00
10,2026-06-26T04:32:43.144906+00:00,BTC/USD,LONG,0.58,BTC is down 7.0% over 10 days but has shown less severe relative weakness than ETH. Current price near recent lows suggests limited downside; momentum is negative but not capitulation-grade. Moderate conviction pending clarification of support.,Sector stabilization; technical support hold around current levels,swing,2026-06-26T04:32:46.410100+00:00
